City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1619,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
1621,Vila Velha,BR,79.0,light rain,-20.33,-40.29,Hotel Vitória Palace
1622,Arraial Do Cabo,BR,73.4,moderate rain,-22.97,-42.03,Pousada Porto Praia
1628,Mar Del Plata,AR,71.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
1630,Benjamin Constant,BR,84.2,scattered clouds,-4.38,-70.03,CASA AVALIADA
1637,Guarapari,BR,79.0,moderate rain,-20.67,-40.5,Hotel Porto do Sol
1638,Tuy Hoa,VN,72.63,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
1641,Port Hedland,AU,82.4,scattered clouds,-20.32,118.57,The Esplanade Hotel
1643,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
1646,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1648,Ixtepec,MX,70.2,clear sky,16.58,-95.1,Hotel Express Inn Ixtepec
1649,Huarmey,PE,71.71,broken clouds,-10.07,-78.15,Hotel Miramar
1654,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
1656,Hobyo,SO,76.62,scattered clouds,5.35,48.53,Halane Hotel and Restaurent
1657,Chuy,UY,71.17,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
1659,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1661,Trairi,BR,79.79,overcast clouds,-3.28,-39.27,janelas do mar
1666,Port Alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
1667,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
1669,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1672,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1674,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
1679,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1682,Touba,CI,80.04,scattered clouds,8.28,-7.68,Hotel de L'Amitié Vraie
1689,Guerrero Negro,MX,71.2,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
1691,Kapaa,US,73.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1694,Langsa,ID,74.53,light rain,4.47,97.97,OYO 2964 Hotel Ridho
1696,Mar Del Plata,AR,71.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
1698,Arraial Do Cabo,BR,73.4,moderate rain,-22.97,-42.03,Pousada Porto Praia
1700,Impfondo,CG,76.5,overcast clouds,1.64,18.07,Préfecture de la Likouala
1705,Bambous Virieux,MU,80.01,shower rain,-20.34,57.76,Casa Tia Villa
1707,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
1708,Quatre Cocos,MU,80.01,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
1710,Kapaa,US,73.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1711,San Isidro,PE,73.4,clear sky,-12.12,-77.05,Radisson Hotel Decapolis Miraflores
1718,Carnarvon,AU,73.4,overcast clouds,-24.87,113.63,Hospitality Carnarvon
1723,Prachuap Khiri Khan,TH,70.68,overcast clouds,12.22,99.75,สมบัติยาย
1727,Kapaa,US,73.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1730,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
1732,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1733,Sambava,MG,77.22,overcast clouds,-14.27,50.17,Melrose
1737,Port Alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
1738,Carnarvon,AU,73.4,overcast clouds,-24.87,113.63,Hospitality Carnarvon
1740,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1743,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
1750,Mar Del Plata,AR,71.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
1752,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1754,Natal,BR,80.6,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
1755,Kilindoni,TZ,81.99,scattered clouds,-7.91,39.67,Bustani B&B
1760,Kalmunai,LK,75.87,light rain,7.42,81.82,VS Villa
1766,Isangel,VU,84.2,few clouds,-19.55,169.27,Volcano Sea View Tree House
1767,Mar Del Plata,AR,71.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
1772,Broken Hill,AU,77.0,clear sky,-31.95,141.43,Daydream Motel & Cottages
1775,Port Blair,IN,78.31,heavy intensity rain,11.67,92.75,Welcomhotel Bay Island Port Blair
1776,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
1779,Mahebourg,MU,78.8,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
1781,Ahuimanu,US,80.6,light rain,21.44,-157.84,Paradise Bay Resort
1788,Stanger,ZA,73.4,broken clouds,-29.33,31.29,Ithala Bank (Stanger)
