City_DF,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
28,Maryville,US,35.76,-83.97,23.0,78,100,6.22,overcast clouds
29,Butaritari,KI,3.07,172.79,80.29,75,100,19.01,overcast clouds
30,Malanje,AO,-9.54,16.34,63.91,95,87,2.73,overcast clouds
31,Cabo San Lucas,MX,22.89,-109.91,78.01,47,5,6.93,clear sky
32,Rikitea,PF,-23.12,-134.97,77.88,75,96,14.97,light rain
33,Cape Town,ZA,-33.93,18.42,69.01,82,20,10.29,few clouds
34,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
35,Hermanus,ZA,-34.42,19.23,64.0,93,7,2.15,clear sky
36,Rikitea,PF,-23.12,-134.97,77.88,75,96,14.97,light rain
37,Nanortalik,GL,60.14,-45.24,21.76,90,100,10.87,overcast clouds
38,Barrow,US,71.29,-156.79,-7.6,76,40,16.11,scattered clouds
39,Porbandar,IN,21.64,69.61,68.05,58,0,9.4,clear sky
40,Bluff,NZ,-46.6,168.33,51.28,54,13,7.07,few clouds
41,Bhilwara,IN,25.35,74.63,52.59,55,0,2.84,clear sky
42,Lebu,CL,-37.62,-73.65,61.54,79,1,15.73,clear sky
43,Ponta Do Sol,PT,32.67,-17.1,66.2,77,40,21.92,light rain
44,Busselton,AU,-33.65,115.33,61.0,84,1,1.99,clear sky
45,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
46,Bredasdorp,ZA,-34.53,20.04,64.4,88,5,2.24,clear sky
47,Mar Del Plata,AR,-38.0,-57.56,71.6,83,0,18.34,clear sky
48,Lujiang,CN,31.26,117.28,39.2,64,68,4.47,haze
49,Olafsvik,IS,64.89,-23.71,31.68,89,100,35.79,overcast clouds
50,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
51,Atuona,PF,-9.8,-139.03,78.91,69,21,11.86,few clouds
52,Ambon,ID,-3.7,128.18,80.01,95,81,7.36,broken clouds
53,Sassandra,CI,4.95,-6.08,78.66,84,46,5.14,scattered clouds
54,Kaitangata,NZ,-46.28,169.85,50.0,74,15,5.99,few clouds
55,Zhanaozen,KZ,43.3,52.8,18.48,93,0,6.02,clear sky
56,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
57,Kavaratti,IN,10.57,72.64,81.91,73,0,4.81,clear sky
58,Bara,NG,10.37,10.73,69.93,30,0,9.37,clear sky
59,Lebu,CL,-37.62,-73.65,61.54,79,1,15.73,clear sky
60,Puerto Ayora,EC,-0.74,-90.35,84.2,62,75,14.99,broken clouds
61,Odweyne,SO,9.41,45.06,65.05,36,35,13.15,scattered clouds
62,Puerto Ayora,EC,-0.74,-90.35,84.2,62,75,14.99,broken clouds
63,Cherskiy,RU,68.75,161.3,-24.11,86,100,8.57,overcast clouds
64,Tura,IN,25.52,90.22,55.98,65,0,2.68,clear sky
65,Rikitea,PF,-23.12,-134.97,77.88,75,96,14.97,light rain
66,Kalmunai,LK,7.42,81.82,75.87,87,35,9.98,light rain
67,Dicabisagan,PH,17.08,122.42,76.42,86,100,4.92,light rain
68,New Norfolk,AU,-42.78,147.06,61.0,56,4,3.11,clear sky
69,Hilo,US,19.73,-155.09,80.6,57,75,4.7,broken clouds
70,Korla,CN,41.76,86.15,18.05,86,21,3.51,few clouds
71,Bredasdorp,ZA,-34.53,20.04,64.4,88,5,2.24,clear sky
72,Marzuq,YE,14.4,46.47,58.64,36,3,4.16,clear sky
73,Polunochnoye,RU,60.87,60.42,-15.09,89,100,2.98,overcast clouds
74,Saginaw,US,43.33,-84.03,24.8,73,90,14.99,light snow
75,Cayenne,GF,4.93,-52.33,82.4,78,60,6.93,broken clouds
76,Barrow,US,71.29,-156.79,-7.6,76,40,16.11,scattered clouds
77,Saskylakh,RU,71.92,114.08,-19.01,84,94,11.39,overcast clouds
78,Nikolskoye,RU,59.7,30.79,26.6,86,90,6.71,light shower snow
79,Broken Hill,AU,-31.95,141.43,77.0,22,0,10.29,clear sky
80,Faanui,PF,-16.48,-151.75,80.94,77,100,14.72,light rain
81,Dikson,RU,73.51,80.55,-15.45,85,0,7.74,clear sky
82,Belawan,ID,3.78,98.68,75.2,100,75,11.41,light rain
83,Upata,VE,8.01,-62.4,73.08,93,40,3.87,light rain
84,Nanortalik,GL,60.14,-45.24,21.76,90,100,10.87,overcast clouds
85,Iqaluit,CA,63.75,-68.51,-7.01,69,90,14.99,light snow
86,Aksay,RU,47.26,39.87,30.2,86,75,13.42,light rain
87,Cap Malheureux,MU,-19.98,57.61,80.01,80,30,11.99,light rain
88,Terrace,CA,54.52,-128.6,35.6,100,90,2.35,overcast clouds
89,Dikson,RU,73.51,80.55,-15.45,85,0,7.74,clear sky
90,Narsaq,GL,60.92,-46.05,14.0,51,81,2.24,broken clouds
91,Rikitea,PF,-23.12,-134.97,77.88,75,96,14.97,light rain
92,Jamestown,US,42.1,-79.24,21.99,92,90,16.44,light snow
93,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
94,Isangel,VU,-19.55,169.27,84.2,74,20,6.93,few clouds
95,Hwange,ZW,-18.37,26.5,73.2,86,100,1.03,overcast clouds
96,Nanortalik,GL,60.14,-45.24,21.76,90,100,10.87,overcast clouds
97,Orocue,CO,4.79,-71.34,85.26,63,11,6.8,few clouds
98,Marsh Harbour,BS,26.54,-77.06,61.43,77,100,26.02,overcast clouds
99,Sayyan,YE,15.17,44.32,44.96,59,31,7.4,scattered clouds
100,Sawtell,AU,-30.38,153.1,66.2,88,90,8.05,mist
101,Albany,US,42.6,-73.97,42.8,75,90,17.22,overcast clouds
102,Vaini,TO,-21.2,-175.2,80.6,88,40,6.93,scattered clouds
103,Tuatapere,NZ,-46.13,167.68,50.97,68,29,6.46,scattered clouds
104,Bengkulu,ID,-3.8,102.27,74.17,83,82,5.14,broken clouds
105,Kemijarvi,FI,66.71,27.43,3.79,91,81,7.78,broken clouds
106,Busselton,AU,-33.65,115.33,61.0,84,1,1.99,clear sky
107,Atuona,PF,-9.8,-139.03,78.91,69,21,11.86,few clouds
108,Luancheng,CN,37.88,114.65,21.2,67,0,6.71,clear sky
109,Port Alfred,ZA,-33.59,26.89,70.0,85,90,1.99,overcast clouds
110,Barrow,US,71.29,-156.79,-7.6,76,40,16.11,scattered clouds
111,Tasiilaq,GL,65.61,-37.64,21.2,62,46,16.11,scattered clouds
112,Ushuaia,AR,-54.8,-68.3,55.4,58,75,6.93,broken clouds
113,Vao,NC,-22.67,167.48,77.09,72,100,8.88,overcast clouds
